Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 65,536
Total batch size 524,288 => gradient accumulation steps: 8
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 21,400
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation bpb: 3.3018
step 00000/21400 (0.00%) | loss: 11.090355 | grad norm: 0.4316 | lrm: 1.00 | dt: 44630.15ms | tok/sec: 11,747 | mfu: 4.15 | total time: 0.00m
step 00146/21400 (0.68%) | loss: 4.709747 | grad norm: 0.4530 | lrm: 1.00 | dt: 5149.09ms | tok/sec: 101,821 | mfu: 35.95 | total time: 11.71m
step 00147/21400 (0.69%) | loss: 4.695621 | grad norm: 0.4468 | lrm: 1.00 | dt: 5141.52ms | tok/sec: 101,971 | mfu: 36.00 | total time: 11.80m
step 00148/21400 (0.69%) | loss: 4.695317 | grad norm: 0.4631 | lrm: 1.00 | dt: 5143.29ms | tok/sec: 101,936 | mfu: 35.99 | total time: 11.88m
step 00149/21400 (0.70%) | loss: 4.679853 | grad norm: 0.5402 | lrm: 1.00 | dt: 5179.26ms | tok/sec: 101,228 | mfu: 35.74 | total time: 11.97m
step 00150/21400 (0.70%) | loss: 4.675806 | grad norm: 0.5537 | lrm: 1.00 | dt: 5168.96ms | tok/sec: 101,430 | mfu: 35.81 | total time: 12.06m
step 00151/21400 (0.71%) | loss: 4.652927 | grad norm: 0.6051 | lrm: 1.00 | dt: 5124.88ms | tok/sec: 102,302 | mfu: 36.12 | total time: 12.14m
step 00152/21400 (0.71%) | loss: 4.648137 | grad norm: 0.5269 | lrm: 1.00 | dt: 5138.95ms | tok/sec: 102,022 | mfu: 36.02 | total time: 12.23m
step 00153/21400 (0.71%) | loss: 4.638671 | grad norm: 0.4944 | lrm: 1.00 | dt: 5141.44ms | tok/sec: 101,972 | mfu: 36.00 | total time: 12.31m
step 00154/21400 (0.72%) | loss: 4.628254 | grad norm: 0.5157 | lrm: 1.00 | dt: 5140.04ms | tok/sec: 102,000 | mfu: 36.01 | total time: 12.40m
step 00155/21400 (0.72%) | loss: 4.620196 | grad norm: 0.4915 | lrm: 1.00 | dt: 5142.27ms | tok/sec: 101,956 | mfu: 36.00 | total time: 12.48m
step 00156/21400 (0.73%) | loss: 4.612383 | grad norm: 0.4289 | lrm: 1.00 | dt: 5132.27ms | tok/sec: 102,155 | mfu: 36.07 | total time: 12.57m
step 00157/21400 (0.73%) | loss: 4.607936 | grad norm: 0.4610 | lrm: 1.00 | dt: 5164.67ms | tok/sec: 101,514 | mfu: 35.84 | total time: 12.65m
step 00158/21400 (0.74%) | loss: 4.605539 | grad norm: 0.5329 | lrm: 1.00 | dt: 5180.49ms | tok/sec: 101,204 | mfu: 35.73 | total time: 12.74m
step 00159/21400 (0.74%) | loss: 4.600864 | grad norm: 0.5298 | lrm: 1.00 | dt: 5133.65ms | tok/sec: 102,127 | mfu: 36.06 | total time: 12.83m
step 00160/21400 (0.75%) | loss: 4.606761 | grad norm: 0.4622 | lrm: 1.00 | dt: 5138.07ms | tok/sec: 102,039 | mfu: 36.03 | total time: 12.91m
step 00161/21400 (0.75%) | loss: 4.602333 | grad norm: 0.5132 | lrm: 1.00 | dt: 5136.25ms | tok/sec: 102,076 | mfu: 36.04 | total time: 13.00m
step 00162/21400 (0.76%) | loss: 4.593677 | grad norm: 0.5043 | lrm: 1.00 | dt: 5132.80ms | tok/sec: 102,144 | mfu: 36.06 | total time: 13.08m
step 00163/21400 (0.76%) | loss: 4.594496 | grad norm: 0.5207 | lrm: 1.00 | dt: 5136.99ms | tok/sec: 102,061 | mfu: 36.03 | total time: 13.17m
step 00164/21400 (0.77%) | loss: 4.600168 | grad norm: 0.4502 | lrm: 1.00 | dt: 5137.56ms | tok/sec: 102,049 | mfu: 36.03 | total time: 13.25m
step 00165/21400 (0.77%) | loss: 4.586129 | grad norm: 0.4176 | lrm: 1.00 | dt: 5141.13ms | tok/sec: 101,979 | mfu: 36.00 | total time: 13.34m
step 00166/21400 (0.78%) | loss: 4.589417 | grad norm: 0.4445 | lrm: 1.00 | dt: 5181.77ms | tok/sec: 101,179 | mfu: 35.72 | total time: 13.43m
step 00167/21400 (0.78%) | loss: 4.588010 | grad norm: 0.4430 | lrm: 1.00 | dt: 5129.57ms | tok/sec: 102,208 | mfu: 36.09 | total time: 13.51m
step 00168/21400 (0.79%) | loss: 4.568130 | grad norm: 0.4503 | lrm: 1.00 | dt: 5142.45ms | tok/sec: 101,953 | mfu: 36.00 | total time: 13.60m
step 00169/21400 (0.79%) | loss: 4.550527 | grad norm: 0.5316 | lrm: 1.00 | dt: 5126.84ms | tok/sec: 102,263 | mfu: 36.11 | total time: 13.68m
step 00170/21400 (0.79%) | loss: 4.545502 | grad norm: 0.4757 | lrm: 1.00 | dt: 5132.14ms | tok/sec: 102,157 | mfu: 36.07 | total time: 13.77m
step 00171/21400 (0.80%) | loss: 4.534334 | grad norm: 0.4073 | lrm: 1.00 | dt: 5140.28ms | tok/sec: 101,996 | mfu: 36.01 | total time: 13.85m
step 00172/21400 (0.80%) | loss: 4.527448 | grad norm: 0.3909 | lrm: 1.00 | dt: 5127.08ms | tok/sec: 102,258 | mfu: 36.10 | total time: 13.94m
step 00173/21400 (0.81%) | loss: 4.516802 | grad norm: 0.4185 | lrm: 1.00 | dt: 5133.40ms | tok/sec: 102,132 | mfu: 36.06 | total time: 14.03m
step 00174/21400 (0.81%) | loss: 4.501296 | grad norm: 0.4509 | lrm: 1.00 | dt: 5177.86ms | tok/sec: 101,255 | mfu: 35.75 | total time: 14.11m
step 00175/21400 (0.82%) | loss: 4.486137 | grad norm: 0.4857 | lrm: 1.00 | dt: 5174.60ms | tok/sec: 101,319 | mfu: 35.77 | total time: 14.20m
step 00176/21400 (0.82%) | loss: 4.483589 | grad norm: 0.4635 | lrm: 1.00 | dt: 5120.90ms | tok/sec: 102,382 | mfu: 36.15 | total time: 14.28m
step 00177/21400 (0.83%) | loss: 4.474708 | grad norm: 0.4663 | lrm: 1.00 | dt: 5130.41ms | tok/sec: 102,192 | mfu: 36.08 | total time: 14.37m
step 00178/21400 (0.83%) | loss: 4.468736 | grad norm: 0.4559 | lrm: 1.00 | dt: 5135.44ms | tok/sec: 102,092 | mfu: 36.04 | total time: 14.45m
step 00179/21400 (0.84%) | loss: 4.462633 | grad norm: 0.4194 | lrm: 1.00 | dt: 5138.13ms | tok/sec: 102,038 | mfu: 36.03 | total time: 14.54m
step 00180/21400 (0.84%) | loss: 4.453291 | grad norm: 0.3590 | lrm: 1.00 | dt: 5132.96ms | tok/sec: 102,141 | mfu: 36.06 | total time: 14.63m
step 00181/21400 (0.85%) | loss: 4.442131 | grad norm: 0.4076 | lrm: 1.00 | dt: 5126.81ms | tok/sec: 102,263 | mfu: 36.11 | total time: 14.71m
step 00182/21400 (0.85%) | loss: 4.459880 | grad norm: 0.4769 | lrm: 1.00 | dt: 5163.81ms | tok/sec: 101,531 | mfu: 35.85 | total time: 14.80m
step 00183/21400 (0.86%) | loss: 4.452730 | grad norm: 0.4654 | lrm: 1.00 | dt: 5171.10ms | tok/sec: 101,388 | mfu: 35.80 | total time: 14.88m
step 00184/21400 (0.86%) | loss: 4.451838 | grad norm: 0.4090 | lrm: 1.00 | dt: 5128.46ms | tok/sec: 102,231 | mfu: 36.09 | total time: 14.97m
step 00185/21400 (0.86%) | loss: 4.445900 | grad norm: 0.3513 | lrm: 1.00 | dt: 5131.83ms | tok/sec: 102,163 | mfu: 36.07 | total time: 15.05m
step 00186/21400 (0.87%) | loss: 4.436244 | grad norm: 0.5749 | lrm: 1.00 | dt: 5121.18ms | tok/sec: 102,376 | mfu: 36.14 | total time: 15.14m
step 00187/21400 (0.87%) | loss: 4.421460 | grad norm: 0.4273 | lrm: 1.00 | dt: 5125.42ms | tok/sec: 102,291 | mfu: 36.12 | total time: 15.23m
step 00188/21400 (0.88%) | loss: 4.420987 | grad norm: 0.4978 | lrm: 1.00 | dt: 5130.20ms | tok/sec: 102,196 | mfu: 36.08 | total time: 15.31m
step 00189/21400 (0.88%) | loss: 4.423809 | grad norm: 0.5025 | lrm: 1.00 | dt: 5121.90ms | tok/sec: 102,361 | mfu: 36.14 | total time: 15.40m
step 00190/21400 (0.89%) | loss: 4.426099 | grad norm: 0.4581 | lrm: 1.00 | dt: 5166.05ms | tok/sec: 101,487 | mfu: 35.83 | total time: 15.48m
step 00191/21400 (0.89%) | loss: 4.398065 | grad norm: 0.4559 | lrm: 1.00 | dt: 5161.96ms | tok/sec: 101,567 | mfu: 35.86 | total time: 15.57m
step 00192/21400 (0.90%) | loss: 4.398743 | grad norm: 0.4537 | lrm: 1.00 | dt: 5123.02ms | tok/sec: 102,339 | mfu: 36.13 | total time: 15.65m
step 00193/21400 (0.90%) | loss: 4.398832 | grad norm: 0.4042 | lrm: 1.00 | dt: 5128.59ms | tok/sec: 102,228 | mfu: 36.09 | total time: 15.74m
step 00194/21400 (0.91%) | loss: 4.389632 | grad norm: 0.3789 | lrm: 1.00 | dt: 5113.72ms | tok/sec: 102,525 | mfu: 36.20 | total time: 15.82m
step 00195/21400 (0.91%) | loss: 4.382214 | grad norm: 0.4897 | lrm: 1.00 | dt: 5124.55ms | tok/sec: 102,309 | mfu: 36.12 | total time: 15.91m
step 00196/21400 (0.92%) | loss: 4.375016 | grad norm: 0.5283 | lrm: 1.00 | dt: 5134.47ms | tok/sec: 102,111 | mfu: 36.05 | total time: 16.00m
step 00197/21400 (0.92%) | loss: 4.360127 | grad norm: 0.4951 | lrm: 1.00 | dt: 5122.44ms | tok/sec: 102,351 | mfu: 36.14 | total time: 16.08m
step 00198/21400 (0.93%) | loss: 4.341126 | grad norm: 0.4247 | lrm: 1.00 | dt: 5160.92ms | tok/sec: 101,588 | mfu: 35.87 | total time: 16.17m
step 00199/21400 (0.93%) | loss: 4.332662 | grad norm: 0.4474 | lrm: 1.00 | dt: 5154.97ms | tok/sec: 101,705 | mfu: 35.91 | total time: 16.25m
step 00200/21400 (0.93%) | loss: 4.317610 | grad norm: 0.4609 | lrm: 1.00 | dt: 5115.81ms | tok/sec: 102,483 | mfu: 36.18 | total time: 16.34m
step 00201/21400 (0.94%) | loss: 4.307978 | grad norm: 0.4355 | lrm: 1.00 | dt: 5119.39ms | tok/sec: 102,412 | mfu: 36.16 | total time: 16.42m
step 00202/21400 (0.94%) | loss: 4.298660 | grad norm: 0.3649 | lrm: 1.00 | dt: 5125.75ms | tok/sec: 102,285 | mfu: 36.11 | total time: 16.51m
step 00203/21400 (0.95%) | loss: 4.297259 | grad norm: 0.3676 | lrm: 1.00 | dt: 5121.83ms | tok/sec: 102,363 | mfu: 36.14 | total time: 16.59m
step 00204/21400 (0.95%) | loss: 4.309264 | grad norm: 0.3827 | lrm: 1.00 | dt: 5117.47ms | tok/sec: 102,450 | mfu: 36.17 | total time: 16.68m
step 00205/21400 (0.96%) | loss: 4.309134 | grad norm: 0.3791 | lrm: 1.00 | dt: 5116.69ms | tok/sec: 102,466 | mfu: 36.18 | total time: 16.76m
step 00206/21400 (0.96%) | loss: 4.293284 | grad norm: 0.3746 | lrm: 1.00 | dt: 5142.12ms | tok/sec: 101,959 | mfu: 36.00 | total time: 16.85m
step 00207/21400 (0.97%) | loss: 4.308679 | grad norm: 0.3962 | lrm: 1.00 | dt: 5155.02ms | tok/sec: 101,704 | mfu: 35.91 | total time: 16.94m
step 00208/21400 (0.97%) | loss: 4.294309 | grad norm: 0.4106 | lrm: 1.00 | dt: 5120.78ms | tok/sec: 102,384 | mfu: 36.15 | total time: 17.02m
step 00209/21400 (0.98%) | loss: 4.272606 | grad norm: 0.4074 | lrm: 1.00 | dt: 5117.99ms | tok/sec: 102,440 | mfu: 36.17 | total time: 17.11m
step 00210/21400 (0.98%) | loss: 4.261935 | grad norm: 0.4215 | lrm: 1.00 | dt: 5123.23ms | tok/sec: 102,335 | mfu: 36.13 | total time: 17.19m
step 00211/21400 (0.99%) | loss: 4.262560 | grad norm: 0.4536 | lrm: 1.00 | dt: 5116.42ms | tok/sec: 102,471 | mfu: 36.18 | total time: 17.28m
step 00212/21400 (0.99%) | loss: 4.270824 | grad norm: 0.4126 | lrm: 1.00 | dt: 5120.81ms | tok/sec: 102,383 | mfu: 36.15 | total time: 17.36m
step 00213/21400 (1.00%) | loss: 4.273538 | grad norm: 0.3917 | lrm: 1.00 | dt: 5113.55ms | tok/sec: 102,529 | mfu: 36.20 | total time: 17.45m
step 00214/21400 (1.00%) | loss: 4.266275 | grad norm: 0.3833 | lrm: 1.00 | dt: 5123.69ms | tok/sec: 102,326 | mfu: 36.13 | total time: 17.53m
step 00215/21400 (1.00%) | loss: 4.257498 | grad norm: 0.3711 | lrm: 1.00 | dt: 5162.52ms | tok/sec: 101,556 | mfu: 35.86 | total time: 17.62m
step 00216/21400 (1.01%) | loss: 4.246147 | grad norm: 0.3657 | lrm: 1.00 | dt: 5115.56ms | tok/sec: 102,488 | mfu: 36.18 | total time: 17.70m
step 00217/21400 (1.01%) | loss: 4.228674 | grad norm: 0.3859 | lrm: 1.00 | dt: 5114.50ms | tok/sec: 102,510 | mfu: 36.19 | total time: 17.79m
step 00218/21400 (1.02%) | loss: 4.225305 | grad norm: 0.4128 | lrm: 1.00 | dt: 5113.90ms | tok/sec: 102,522 | mfu: 36.20 | total time: 17.88m
step 00219/21400 (1.02%) | loss: 4.213986 | grad norm: 0.3804 | lrm: 1.00 | dt: 5113.91ms | tok/sec: 102,521 | mfu: 36.20 | total time: 17.96m
step 00220/21400 (1.03%) | loss: 4.213005 | grad norm: 0.3818 | lrm: 1.00 | dt: 5114.91ms | tok/sec: 102,501 | mfu: 36.19 | total time: 18.05m
step 00221/21400 (1.03%) | loss: 4.201303 | grad norm: 0.3915 | lrm: 1.00 | dt: 5124.26ms | tok/sec: 102,314 | mfu: 36.12 | total time: 18.13m
step 00222/21400 (1.04%) | loss: 4.197809 | grad norm: 0.3576 | lrm: 1.00 | dt: 5116.85ms | tok/sec: 102,462 | mfu: 36.18 | total time: 18.22m
step 00223/21400 (1.04%) | loss: 4.177831 | grad norm: 0.3214 | lrm: 1.00 | dt: 5155.35ms | tok/sec: 101,697 | mfu: 35.91 | total time: 18.30m
step 00224/21400 (1.05%) | loss: 4.154174 | grad norm: 0.3507 | lrm: 1.00 | dt: 5149.42ms | tok/sec: 101,814 | mfu: 35.95 | total time: 18.39m
step 00225/21400 (1.05%) | loss: 4.148975 | grad norm: 0.3655 | lrm: 1.00 | dt: 5110.26ms | tok/sec: 102,595 | mfu: 36.22 | total time: 18.47m
step 00226/21400 (1.06%) | loss: 4.166596 | grad norm: 0.3648 | lrm: 1.00 | dt: 5115.07ms | tok/sec: 102,498 | mfu: 36.19 | total time: 18.56m
step 00227/21400 (1.06%) | loss: 4.163202 | grad norm: 0.3755 | lrm: 1.00 | dt: 5125.12ms | tok/sec: 102,297 | mfu: 36.12 | total time: 18.64m
step 00228/21400 (1.07%) | loss: 4.155032 | grad norm: 0.3697 | lrm: 1.00 | dt: 5122.36ms | tok/sec: 102,352 | mfu: 36.14 | total time: 18.73m
step 00229/21400 (1.07%) | loss: 4.167642 | grad norm: 0.3781 | lrm: 1.00 | dt: 5105.89ms | tok/sec: 102,682 | mfu: 36.25 | total time: 18.81m
step 00230/21400 (1.07%) | loss: 4.160851 | grad norm: 0.4442 | lrm: 1.00 | dt: 5118.25ms | tok/sec: 102,435 | mfu: 36.17 | total time: 18.90m
step 00231/21400 (1.08%) | loss: 4.148039 | grad norm: 0.3730 | lrm: 1.00 | dt: 5149.88ms | tok/sec: 101,805 | mfu: 35.94 | total time: 18.99m
step 00232/21400 (1.08%) | loss: 4.143869 | grad norm: 0.3200 | lrm: 1.00 | dt: 5154.66ms | tok/sec: 101,711 | mfu: 35.91 | total time: 19.07m
step 00233/21400 (1.09%) | loss: 4.134964 | grad norm: 0.3226 | lrm: 1.00 | dt: 5104.82ms | tok/sec: 102,704 | mfu: 36.26 | total time: 19.16m
step 00234/21400 (1.09%) | loss: 4.122927 | grad norm: 0.3608 | lrm: 1.00 | dt: 5121.04ms | tok/sec: 102,379 | mfu: 36.15 | total time: 19.24m
step 00235/21400 (1.10%) | loss: 4.122390 | grad norm: 0.3728 | lrm: 1.00 | dt: 5108.83ms | tok/sec: 102,623 | mfu: 36.23 | total time: 19.33m
step 00236/21400 (1.10%) | loss: 4.139382 | grad norm: 0.3930 | lrm: 1.00 | dt: 5109.80ms | tok/sec: 102,604 | mfu: 36.23 | total time: 19.41m
step 00237/21400 (1.11%) | loss: 4.142229 | grad norm: 0.3467 | lrm: 1.00 | dt: 5111.49ms | tok/sec: 102,570 | mfu: 36.21 | total time: 19.50m
step 00238/21400 (1.11%) | loss: 4.139500 | grad norm: 0.3377 | lrm: 1.00 | dt: 5119.35ms | tok/sec: 102,413 | mfu: 36.16 | total time: 19.58m
step 00239/21400 (1.12%) | loss: 4.128424 | grad norm: 0.3525 | lrm: 1.00 | dt: 5146.76ms | tok/sec: 101,867 | mfu: 35.97 | total time: 19.67m
step 00240/21400 (1.12%) | loss: 4.115822 | grad norm: 0.3349 | lrm: 1.00 | dt: 5145.00ms | tok/sec: 101,902 | mfu: 35.98 | total time: 19.75m
step 00241/21400 (1.13%) | loss: 4.108845 | grad norm: 0.3175 | lrm: 1.00 | dt: 5113.77ms | tok/sec: 102,524 | mfu: 36.20 | total time: 19.84m
step 00242/21400 (1.13%) | loss: 4.115981 | grad norm: 0.2992 | lrm: 1.00 | dt: 5106.80ms | tok/sec: 102,664 | mfu: 36.25 | total time: 19.92m
step 00243/21400 (1.14%) | loss: 4.120410 | grad norm: 0.3305 | lrm: 1.00 | dt: 5108.56ms | tok/sec: 102,629 | mfu: 36.23 | total time: 20.01m
step 00244/21400 (1.14%) | loss: 4.127259 | grad norm: 0.3273 | lrm: 1.00 | dt: 5116.93ms | tok/sec: 102,461 | mfu: 36.18 | total time: 20.10m
step 00245/21400 (1.14%) | loss: 4.131153 | grad norm: 0.3197 | lrm: 1.00 | dt: 5106.89ms | tok/sec: 102,662 | mfu: 36.25 | total time: 20.18m
step 00246/21400 (1.15%) | loss: 4.117056 | grad norm: 0.3465 | lrm: 1.00 | dt: 5109.55ms | tok/sec: 102,609 | mfu: 36.23 | total time: 20.27m
step 00247/21400 (1.15%) | loss: 4.114691 | grad norm: 0.3401 | lrm: 1.00 | dt: 5132.94ms | tok/sec: 102,141 | mfu: 36.06 | total time: 20.35m
step 00248/21400 (1.16%) | loss: 4.111606 | grad norm: 0.3210 | lrm: 1.00 | dt: 5152.78ms | tok/sec: 101,748 | mfu: 35.92 | total time: 20.44m
step 00249/21400 (1.16%) | loss: 4.097883 | grad norm: 0.3481 | lrm: 1.00 | dt: 5111.66ms | tok/sec: 102,567 | mfu: 36.21 | total time: 20.52m
Step 00250 | Validation bpb: 1.1989
step 00250/21400 (1.17%) | loss: 4.078763 | grad norm: 0.3406 | lrm: 1.00 | dt: 5159.89ms | tok/sec: 101,608 | mfu: 35.87 | total time: 20.61m
step 00251/21400 (1.17%) | loss: 4.067187 | grad norm: 0.3344 | lrm: 1.00 | dt: 5110.27ms | tok/sec: 102,594 | mfu: 36.22 | total time: 20.69m
step 00252/21400 (1.18%) | loss: 4.065446 | grad norm: 0.3413 | lrm: 1.00 | dt: 5106.20ms | tok/sec: 102,676 | mfu: 36.25 | total time: 20.78m
step 00253/21400 (1.18%) | loss: 4.056100 | grad norm: 0.3634 | lrm: 1.00 | dt: 5109.60ms | tok/sec: 102,608 | mfu: 36.23 | total time: 20.86m
step 00254/21400 (1.19%) | loss: 4.054161 | grad norm: 0.3656 | lrm: 1.00 | dt: 5103.80ms | tok/sec: 102,724 | mfu: 36.27 | total time: 20.95m
step 00255/21400 (1.19%) | loss: 4.057538 | grad norm: 0.3628 | lrm: 1.00 | dt: 5100.47ms | tok/sec: 102,792 | mfu: 36.29 | total time: 21.03m
step 00256/21400 (1.20%) | loss: 4.057948 | grad norm: 0.3707 | lrm: 1.00 | dt: 5104.71ms | tok/sec: 102,706 | mfu: 36.26 | total time: 21.12m
step 00257/21400 (1.20%) | loss: 4.044611 | grad norm: 0.3107 | lrm: 1.00 | dt: 5166.87ms | tok/sec: 101,471 | mfu: 35.83 | total time: 21.20m
step 00258/21400 (1.21%) | loss: 4.043407 | grad norm: 0.3227 | lrm: 1.00 | dt: 5134.42ms | tok/sec: 102,112 | mfu: 36.05 | total time: 21.29m
step 00259/21400 (1.21%) | loss: 4.032513 | grad norm: 0.3682 | lrm: 1.00 | dt: 5097.11ms | tok/sec: 102,859 | mfu: 36.32 | total time: 21.38m
step 00260/21400 (1.21%) | loss: 4.046004 | grad norm: 0.3229 | lrm: 1.00 | dt: 5105.45ms | tok/sec: 102,691 | mfu: 36.26 | total time: 21.46m
step 00261/21400 (1.22%) | loss: 4.029561 | grad norm: 0.3431 | lrm: 1.00 | dt: 5107.09ms | tok/sec: 102,658 | mfu: 36.24 | total time: 21.55m
step 00262/21400 (1.22%) | loss: 4.029422 | grad norm: 0.3943 | lrm: 1.00 | dt: 5107.70ms | tok/sec: 102,646 | mfu: 36.24 | total time: 21.63m
step 00263/21400 (1.23%) | loss: 4.005222 | grad norm: 0.3860 | lrm: 1.00 | dt: 5117.45ms | tok/sec: 102,450 | mfu: 36.17 | total time: 21.72m
step 00264/21400 (1.23%) | loss: 3.994327 | grad norm: 0.3223 | lrm: 1.00 | dt: 5095.08ms | tok/sec: 102,900 | mfu: 36.33 | total time: 21.80m
step 00265/21400 (1.24%) | loss: 3.994135 | grad norm: 0.3027 | lrm: 1.00 | dt: 5139.15ms | tok/sec: 102,018 | mfu: 36.02 | total time: 21.89m
step 00266/21400 (1.24%) | loss: 3.996077 | grad norm: 0.2975 | lrm: 1.00 | dt: 5135.59ms | tok/sec: 102,089 | mfu: 36.04 | total time: 21.97m
step 00267/21400 (1.25%) | loss: 4.008494 | grad norm: 0.3007 | lrm: 1.00 | dt: 5105.14ms | tok/sec: 102,698 | mfu: 36.26 | total time: 22.06m
step 00268/21400 (1.25%) | loss: 4.004845 | grad norm: 0.2915 | lrm: 1.00 | dt: 5101.68ms | tok/sec: 102,767 | mfu: 36.28 | total time: 22.14m
step 00269/21400 (1.26%) | loss: 3.994060 | grad norm: 0.2992 | lrm: 1.00 | dt: 5111.73ms | tok/sec: 102,565 | mfu: 36.21 | total time: 22.23m
step 00270/21400 (1.26%) | loss: 3.978306 | grad norm: 0.3041 | lrm: 1.00 | dt: 5101.63ms | tok/sec: 102,768 | mfu: 36.28 | total time: 22.31m
step 00271/21400 (1.27%) | loss: 3.974800 | grad norm: 0.3101 | lrm: 1.00 | dt: 5093.03ms | tok/sec: 102,942 | mfu: 36.34 | total time: 22.40m
step 00272/21400 (1.27%) | loss: 3.986236 | grad norm: 0.3087 | lrm: 1.00 | dt: 5103.03ms | tok/sec: 102,740 | mfu: 36.27 | total time: 22.48m
step 00273/21400 (1.28%) | loss: 3.988646 | grad norm: 0.2858 | lrm: 1.00 | dt: 5131.51ms | tok/sec: 102,170 | mfu: 36.07 | total time: 22.57m
step 00274/21400 (1.28%) | loss: 3.976157 | grad norm: 0.2931 | lrm: 1.00 | dt: 5141.60ms | tok/sec: 101,969 | mfu: 36.00 | total time: 22.65m
step 00275/21400 (1.29%) | loss: 3.971474 | grad norm: 0.2987 | lrm: 1.00 | dt: 5091.90ms | tok/sec: 102,965 | mfu: 36.35 | total time: 22.74m
step 00276/21400 (1.29%) | loss: 3.968409 | grad norm: 0.2770 | lrm: 1.00 | dt: 5105.05ms | tok/sec: 102,699 | mfu: 36.26 | total time: 22.82m
step 00277/21400 (1.29%) | loss: 3.955202 | grad norm: 0.2674 | lrm: 1.00 | dt: 5105.69ms | tok/sec: 102,686 | mfu: 36.25 | total time: 22.91m
step 00278/21400 (1.30%) | loss: 3.953656 | grad norm: 0.2950 | lrm: 1.00 | dt: 5097.98ms | tok/sec: 102,842 | mfu: 36.31 | total time: 22.99m
step 00279/21400 (1.30%) | loss: 3.945413 | grad norm: 0.2600 | lrm: 1.00 | dt: 5096.35ms | tok/sec: 102,875 | mfu: 36.32 | total time: 23.08m
step 00280/21400 (1.31%) | loss: 3.943384 | grad norm: 0.2877 | lrm: 1.00 | dt: 5097.48ms | tok/sec: 102,852 | mfu: 36.31 | total time: 23.16m
step 00281/21400 (1.31%) | loss: 3.948385 | grad norm: 0.2736 | lrm: 1.00 | dt: 5128.43ms | tok/sec: 102,231 | mfu: 36.09 | total time: 23.25m
step 00282/21400 (1.32%) | loss: 3.955008 | grad norm: 0.2565 | lrm: 1.00 | dt: 5143.07ms | tok/sec: 101,940 | mfu: 35.99 | total time: 23.33m
step 00283/21400 (1.32%) | loss: 3.944601 | grad norm: 0.2786 | lrm: 1.00 | dt: 5099.76ms | tok/sec: 102,806 | mfu: 36.30 | total time: 23.42m
step 00284/21400 (1.33%) | loss: 3.965611 | grad norm: 0.2657 | lrm: 1.00 | dt: 5091.57ms | tok/sec: 102,971 | mfu: 36.36 | total time: 23.50m
step 00285/21400 (1.33%) | loss: 3.965153 | grad norm: 0.2700 | lrm: 1.00 | dt: 5099.96ms | tok/sec: 102,802 | mfu: 36.30 | total time: 23.59m
step 00286/21400 (1.34%) | loss: 3.968477 | grad norm: 0.2753 | lrm: 1.00 | dt: 5099.77ms | tok/sec: 102,806 | mfu: 36.30 | total time: 23.67m
step 00287/21400 (1.34%) | loss: 3.952968 | grad norm: 0.2980 | lrm: 1.00 | dt: 5096.20ms | tok/sec: 102,878 | mfu: 36.32 | total time: 23.76m
step 00288/21400 (1.35%) | loss: 3.943653 | grad norm: 0.3310 | lrm: 1.00 | dt: 5096.09ms | tok/sec: 102,880 | mfu: 36.32 | total time: 23.84m
step 00289/21400 (1.35%) | loss: 3.939661 | grad norm: 0.3226 | lrm: 1.00 | dt: 5103.60ms | tok/sec: 102,729 | mfu: 36.27 | total time: 23.93m
step 00290/21400 (1.36%) | loss: 3.926381 | grad norm: 0.3136 | lrm: 1.00 | dt: 5132.32ms | tok/sec: 102,154 | mfu: 36.07 | total time: 24.02m
step 00291/21400 (1.36%) | loss: 3.937520 | grad norm: 0.3136 | lrm: 1.00 | dt: 5114.36ms | tok/sec: 102,512 | mfu: 36.19 | total time: 24.10m
step 00292/21400 (1.36%) | loss: 3.937035 | grad norm: 0.3288 | lrm: 1.00 | dt: 5096.19ms | tok/sec: 102,878 | mfu: 36.32 | total time: 24.19m
step 00293/21400 (1.37%) | loss: 3.946417 | grad norm: 0.3136 | lrm: 1.00 | dt: 5096.52ms | tok/sec: 102,871 | mfu: 36.32 | total time: 24.27m
step 00294/21400 (1.37%) | loss: 3.931969 | grad norm: 0.2921 | lrm: 1.00 | dt: 5100.29ms | tok/sec: 102,795 | mfu: 36.29 | total time: 24.36m
step 00295/21400 (1.38%) | loss: 3.928862 | grad norm: 0.2633 | lrm: 1.00 | dt: 5092.81ms | tok/sec: 102,946 | mfu: 36.35 | total time: 24.44m
step 00296/21400 (1.38%) | loss: 3.920403 | grad norm: 0.2380 | lrm: 1.00 | dt: 5097.36ms | tok/sec: 102,854 | mfu: 36.31 | total time: 24.53m
